Country,Company,Website,Web search,Apollo,Final (used),Source
Indonesia,PT Viktori Profindo Industri,viktori-profindo.com,linkedin.com/company/viktori-profindo-industri,linkedin.com/company/viktori-profindo-industri,linkedin.com/company/viktori-profindo-industri,both
Iran,Arsha Sanat,arshasanat.com,,,NOT FOUND,none
Ireland,Timoney Aftermarket Ltd,,,,NOT FOUND,none
Israel,Liraz Engineering,lrz.co.il,,linkedin.com/company/לירז-הנדסה-בע,linkedin.com/company/לירז-הנדסה-בע,apollo
Italy,Industrial Forniture Moro,morotreviso.com,linkedin.com/company/industrial-forniture-moro-s-n-c-,linkedin.com/company/ifm-industrial-forniture-moro-s-n-c,linkedin.com/company/industrial-forniture-moro-s-n-c-,web(apollo differs)
Japan,Takatsu Denki Seiki (Takatsu),takatsu.co.jp,,linkedin.com/company/高津伝動精機株式会社,linkedin.com/company/高津伝動精機株式会社,apollo
Kazakhstan,Energy Star,estar.kz,,,NOT FOUND,none
Kenya,Electric Link International Ltd,electric-link.com,linkedin.com/company/electric-link-pan-africa-ltd,,linkedin.com/company/electric-link-pan-africa-ltd,web
Malaysia,Optimus Control Industry PLT,optimuscontrol.com,,,NOT FOUND,none
Mexico,MG Industrial Imports,motorreductores.com,,,NOT FOUND,none
Morocco,MGT,mgt.ma,,,NOT FOUND,none
Netherlands,Multispeeds Aandrijftechniek B.V.,multispeeds.nl,linkedin.com/company/multispeeds-aandrijftechniek,linkedin.com/company/multispeeds-aandrijftechniek,linkedin.com/company/multispeeds-aandrijftechniek,both
New Zealand,SAECOWilson,saecowilson.co.nz,linkedin.com/company/saecowilson,linkedin.com/company/saecowilson,linkedin.com/company/saecowilson,both
Norway,Voith Turbo AS,voith.com,linkedin.com/company/voith-turbo,linkedin.com/company/voith-hydro,linkedin.com/company/voith-turbo,web(apollo differs)
Peru,VVA Industrial,vvaindustrial.com,linkedin.com/company/vva-industrial,linkedin.com/company/vva-industrial,linkedin.com/company/vva-industrial,both
Philippines,NTPI International Inc.,ntpi.com.ph,,linkedin.com/company/ntpiofficial,linkedin.com/company/ntpiofficial,apollo
Poland,Polpack Sp. z o.o.,polpack.com.pl,linkedin.com/company/polpack-systemy-napędowe-i-sterowania,linkedin.com/company/polpack-systemy-napędowe-i-sterowania,linkedin.com/company/polpack-systemy-napędowe-i-sterowania,both
Portugal,SEW-Eurodrive Portugal,sew-eurodrive.pt,linkedin.com/company/sew-eurodrive-portugal,linkedin.com/company/sew-eurodrive-portugal,linkedin.com/company/sew-eurodrive-portugal,both
Romania,SITI Balkania,sitibalkania.ro,linkedin.com/company/siti-balkania-srl,linkedin.com/company/siti-balkania-srl,linkedin.com/company/siti-balkania-srl,both
Russia,FAM-Drive,fam-drive.ru,,,NOT FOUND,none
Russia,Servostar,servostar.ru,,,NOT FOUND,none
