page,table,cells
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….702 | - | - | - | - | - | 1.500,00 € | 1.702,00 € | 2.129,00 € | 2.513,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….703 | - | - | - | 1.163,00 € | 1.288,00 € | 1.411,00 € | 1.609,00 € | 2.017,00 € | 2.388,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….704 | - | - | 1.090,00 € | 1.124,00 € | 1.245,00 € | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….802 | - | - | - | - | - | 1.500,00 € | 1.702,00 € | 2.129,00 € | 2.513,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….803 | - | - | - | 1.163,00 € | 1.288,00 € | 1.411,00 € | 1.609,00 € | 2.017,00 € | 2.388,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….804 | - | - | 1.090,00 € | 1.124,00 € | 1.245,00 € | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….902 | - | - | - | - | - | 1.771,00 € | 1.881,00 € | 2.473,00 € | 2.849,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….903 | - | - | - | 1.432,00 € | 1.566,00 € | 1.718,00 € | 1.929,00 € | 2.369,00 € | 2.753,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP ….904 | - | - | 1.352,00 € | 1.394,00 € | 1.531,00 € | 1.680,00 € | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1002 | - | - | - | - | - | 1.771,00 € | 1.881,00 € | 2.473,00 € | 2.849,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1003 | - | - | - | 1.432,00 € | 1.566,00 € | 1.718,00 € | 1.929,00 € | 2.369,00 € | 2.753,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1004 | - | - | 1.352,00 € | 1.394,00 € | 1.531,00 € | 1.680,00 € | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1102 | - | - | - | - | - | - | - | - | 3.305,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1103 | - | - | - | - | - | 2.115,00 € | 2.335,00 € | 2.783,00 € | 3.192,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1104 | - | - | - | 1.675,00 € | 1.813,00 € | 1.995,00 € | 2.221,00 € | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1202 | - | - | - | - | - | - | - | - | 3.305,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1203 | - | - | - | - | - | 2.115,00 € | 2.335,00 € | 2.783,00 € | 3.192,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MAP…1204 | - | - | - | 1.675,00 € | 1.813,00 € | 1.995,00 € | 2.221,00 € | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),REDÜKTÖR TİPİ | IEC B5 80/90 | IEC B5 100/112 | IEC B5 132 | IEC B5 160/180 | IEC B5 200 | IEC B5 225 | IEC B5 250 | IEC B5 280 | IEC B5 315
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….403 | - | 930,00 € | 960,00 € | 990,00 € | 1.104,00 € | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….404 | 921,00 € | 916,00 € | 947,00 € | - | - | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….503 | - | 1.036,00 € | 1.068,00 € | 1.100,00 € | 1.206,00 € | 1.335,00 € | 1.580,00 € | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….504 | 1.016,00 € | 1.019,00 € | 1.050,00 € | 1.077,00 € | - | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….603 | - | 1.036,00 € | 1.068,00 € | 1.100,00 € | 1.206,00 € | 1.335,00 € | 1.580,00 € | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….604 | 1.016,00 € | 1.021,00 € | 1.050,00 € | 1.078,00 € | - | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….703 | - | - | - | 1.304,00 € | 1.442,00 € | 1.584,00 € | 1.806,00 € | 2.079,00 € | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….704 | - | 1.023,00 € | 1.105,00 € | 1.248,00 € | 1.388,00 € | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….803 | - | - | - | 1.304,00 € | 1.442,00 € | 1.584,00 € | 1.806,00 € | 2.079,00 € | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….804 | - | 1.023,00 € | 1.105,00 € | 1.248,00 € | 1.388,00 € | - | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….903 | - | - | - | 1.613,00 € | 1.760,00 € | 1.928,00 € | 2.171,00 € | 2.664,00 € | 2.965,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP ….904 | - | 1.541,00 € | 1.576,00 € | 1.732,00 € | 1.894,00 € | 2.116,00 € | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP…1003 | - | - | - | 1.613,00 € | 1.760,00 € | 1.928,00 € | 2.171,00 € | 2.664,00 € | 2.965,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP…1004 | - | 1.541,00 € | 1.576,00 € | 1.732,00 € | 1.894,00 € | 2.116,00 € | - | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP…1103 | - | - | - | - | - | 2.343,00 € | 2.601,00 € | 3.145,00 € | 3.472,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP…1104 | - | - | - | 1.847,00 € | 2.004,00 € | 2.198,00 € | 2.459,00 € | - | -"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP…1203 | - | - | - | - | - | 2.343,00 € | 2.601,00 € | 3.145,00 € | 3.472,00 €"
7,MAP... SERIES / IEC B5 FLANGE (PAM) PRICE LIST(€),"MKP…1204 | - | - | - | 1.847,00 € | 2.004,00 € | 2.198,00 € | 2.459,00 € | - | -"
8,MA... SERIES BASE FRAME PRICE LIST(€),GEARBOX TYPE | IEC B5 90 | IEC B5 100 | IEC B5 112 | IEC B5 132 | IEC B5 160 | IEC B5 180 | IEC B5 200 | IEC B5 225 | IEC B5 250 | IEC B5 280 | IEC B5 315
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA ….402 MA ….403 | - | 866,00 € | 896,00 € | 955,00 € | 1.097,00 € | 1.143,00 € | 1.313,00 € | 1.394,00 € | - | - | -"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA ….502 MA ….503 | - | - | - | 1.039,00 € | 1.194,00 € | 1.244,00 € | 1.429,00 € | 1.517,00 € | 1.695,00 € | - | -"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA ….602 MA ….603 | - | - | - | 1.130,00 € | 1.284,00 € | 1.334,00 € | 1.519,00 € | 1.607,00 € | 1.785,00 € | - | -"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA ….702 MA ….703 MA ….704 | - | 1.032,00 € | 1.107,00 € | 1.234,00 € | 1.389,00 € | 1.439,00 € | 1.624,00 € | 1.712,00 € | 1.889,00 € | 2.060,00 € | 2.718,00 €"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA ….802 MA ….803 MA ….804 | - | 1.119,00 € | 1.194,00 € | 1.321,00 € | 1.476,00 € | 1.526,00 € | 1.711,00 € | 1.799,00 € | 1.977,00 € | 2.147,00 € | 2.806,00 €"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA ….902 MA ….903 MA ….904 | - | - | - | 1.453,00 € | 1.607,00 € | 1.657,00 € | 1.842,00 € | 1.930,00 € | 2.108,00 € | 2.278,00 € | 2.937,00 €"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA…1002 MA…1003 MA…1004 | - | - | - | 1.534,00 € | 1.688,00 € | 1.738,00 € | 1.923,00 € | 2.011,00 € | 2.189,00 € | 2.359,00 € | 3.018,00 €"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA…1102 MA…1103 MA…1104 | - | - | - | - | 1.873,00 € | 1.923,00 € | 2.107,00 € | 2.196,00 € | 2.373,00 € | 2.544,00 € | 3.202,00 €"
8,MA... SERIES BASE FRAME PRICE LIST(€),"MA…1202 MA…1203 MA…1204 | - | - | - | - | 2.065,00 € | 2.116,00 € | 2.305,00 € | 2.396,00 € | 2.578,00 € | 2.752,00 € | 3.426,00 €"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,GEARBOX TYPE | IEC B5 80/90 | IEC B5 100 | IEC B5 112 | IEC B5 132 | IEC B5 160 | IEC B5 180 | IEC B5 200 | IEC B5 225 | IEC B5 250 | IEC B5 280 | IEC B5 315
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK ….403 MK ….404 | 771,00 € | 800,00 € | 828,00 € | 944,00 € | 1.084,00 € | 1.130,00 € | 1.298,00 € | 1.378,00 € | - | - | -"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK ….503 MK ….504 | 832,00 € | 884,00 € | 943,00 € | 1.076,00 € | 1.236,00 € | 1.288,00 € | 1.479,00 € | 1.570,00 € | 1.754,00 € | 1.931,00 € | -"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK ….603 MK ….604 | 891,00 € | 942,00 € | 1.001,00 € | 1.133,00 € | 1.293,00 € | 1.345,00 € | 1.536,00 € | 1.627,00 € | 1.811,00 € | 1.988,00 € | -"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK ….703 MK ….704 | 933,00 € | 995,00 € | 1.070,00 € | 1.203,00 € | 1.344,00 € | 1.393,00 € | 1.578,00 € | 1.666,00 € | 1.844,00 € | 2.015,00 € | 2.673,00 €"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK ….803 MK ….804 | 1.079,00 € | 1.151,00 € | 1.275,00 € | 1.423,00 € | 1.473,00 € | 1.658,00 € | 1.746,00 € | 1.924,00 € | 2.094,00 € | 2.752,00 € | 2.458,00 €"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK ….903 MK ….904 | - | 1.201,00 € | 1.273,00 € | 1.396,00 € | 1.545,00 € | 1.593,00 € | 1.778,00 € | 1.866,00 € | 2.044,00 € | 2.214,00 € | 2.872,00 €"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK…1003 MK…1004 | - | 1.282,00 € | 1.354,00 € | 1.477,00 € | 1.626,00 € | 1.674,00 € | 1.859,00 € | 1.947,00 € | 2.125,00 € | 2.295,00 € | 2.954,00 €"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK…1103 MK…1104 | - | 1.491,00 € | 1.575,00 € | 1.718,00 € | 1.873,00 € | 1.923,00 € | 2.107,00 € | 2.196,00 € | 2.373,00 € | 2.544,00 € | 3.202,00 €"
8,MK... SERIES (BEVEL HELICAL) BASE FRAME PRICE LIST,"MK…1203 MK…1204 | - | - | - | 1.899,00 € | 2.056,00 € | 2.107,00 € | 2.295,00 € | 2.385,00 € | 2.566,00 € | 2.740,00 € | 3.411,00 €"
