page,table,cells
3,FAN COOLING (MK…. SERIES),"MK 12… | 1.264,00 €"
3,SHELL&TUBE HEAT EXCHANGER (MA/MK… SERIES),SHELL&TUBE HEAT EXCHANGER (MA/MK… SERIES) | Cooling Power (kW) | PRICE (€)
3,SHELL&TUBE HEAT EXCHANGER (MA/MK… SERIES),"BE 1 | 4 kW | 796,00 €"
3,SHELL&TUBE HEAT EXCHANGER (MA/MK… SERIES),"BE 2 | 6 kW | 812,00 €"
3,SHELL&TUBE HEAT EXCHANGER (MA/MK… SERIES),"BE 3 | 10 kW | 949,00 €"
3,SHELL&TUBE HEAT EXCHANGER (MA/MK… SERIES),"BE 4 | 20 kW | 1.153,00 €"
3,BRAZED HEAT EXCHANGER (MA/MK… SERIES),BRAZED HEAT EXCHANGER (MA/MK… SERIES) | Cooling Power (kW) | PRICE (€)
3,BRAZED HEAT EXCHANGER (MA/MK… SERIES),"LE 1 | 4 kW | 842,00 €"
3,BRAZED HEAT EXCHANGER (MA/MK… SERIES),"LE 2 | 6 kW | 919,00 €"
3,BRAZED HEAT EXCHANGER (MA/MK… SERIES),"LE 3 | 10 kW | 1.127,00 €"
3,BRAZED HEAT EXCHANGER (MA/MK… SERIES),"LE 4 | 20 kW | 1.305,00 €"
3,AIR HEAT EXCHANGER (MA/MK… SERIES),AIR HEAT EXCHANGER (MA/MK… SERIES) | Cooling Power (kW) | PRICE (€)
3,AIR HEAT EXCHANGER (MA/MK… SERIES),"RS 1 | 6,5 kW | 1.476,00 €"
3,AIR HEAT EXCHANGER (MA/MK… SERIES),"RS 2 | 10 kW | 1.528,00 €"
3,AIR HEAT EXCHANGER (MA/MK… SERIES),"RS 3 | 15 kW | 1.795,00 €"
3,AIR HEAT EXCHANGER (MA/MK… SERIES),"RS 4 | 20 kW | 1.900,00 €"
3,OIL EXPANSION TANK (MA/MK… SERIES),OIL EXPANSION TANK (MA/MK… SERIES) | TANK CAPACITY (Lt.) | PRICE (€)
3,OIL EXPANSION TANK (MA/MK… SERIES),"ET02 | 2 Lt. | 119,00 €"
3,OIL EXPANSION TANK (MA/MK… SERIES),"ET03 | 3 Lt. | 142,00 €"
3,OIL EXPANSION TANK (MA/MK… SERIES),"ET04 | 4 Lt. | 167,00 €"
3,OIL EXPANSION TANK (MA/MK… SERIES),"ET05 | 5 Lt. | 222,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),GEARBOX TYPE | HOLLOW SHAFT (MA…G..) | OUTPUT SHAFT (MA…SL/SR) | DOUBLE OUTPUT SHAFT (MA…SD) | SHRINK DISC (MA…SDL/SDR) | OUTPUT FLANGE (MA…FL/FR)
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….402 | 2.534,00 € | 2.588,00 € | 2.661,00 € | 2.969,00 € | 496,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….403 | 2.799,00 € | 2.872,00 € | 2.949,00 € | 3.273,00 € | 496,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….502 | 3.350,00 € | 3.474,00 € | 3.500,00 € | 3.944,00 € | 587,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….503 | 3.646,00 € | 3.768,00 € | 3.795,00 € | 4.270,00 € | 587,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….602 | 3.950,00 € | 3.924,00 € | 4.164,00 € | 4.599,00 € | 608,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….603 | 4.296,00 € | 4.274,00 € | 4.513,00 € | 4.946,00 € | 608,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….702 | 4.854,00 € | 4.844,00 € | 5.174,00 € | 5.559,00 € | 942,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….703 | 5.280,00 € | 5.204,00 € | 5.455,00 € | 5.996,00 € | 942,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….704 | 5.547,00 € | 5.490,00 € | 5.762,00 € | 6.314,00 € | 942,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….802 | 6.227,00 € | 6.346,00 € | 6.823,00 € | 7.104,00 € | 1.017,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….803 | 6.636,00 € | 6.606,00 € | 7.083,00 € | 7.538,00 € | 1.017,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….804 | 6.978,00 € | 6.912,00 € | 7.389,00 € | 7.919,00 € | 1.017,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….902 | 7.723,00 € | 7.922,00 € | 8.448,00 € | 9.094,00 € | 1.119,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….903 | 8.413,00 € | 8.512,00 € | 8.946,00 € | 9.750,00 € | 1.119,00 €"
