currency,series,page,power_kw,power_hp,output_rpm,type_full,gearbox,motor,price_foot,price_flange
TL,İRM,4,0.12,,"0,28-0,44",İRPM 93 İR 63 / 63 M4a(*P),İRPM 93 İR 63,63 M4a(*P),78098.00,85911.00
TL,İRM,4,0.12,0.16,"0,47-1,3",İRPM 92 İR 63 / 63 M4a(*P),İRPM 92 İR 63,63 M4a(*P),76071.00,83883.00
TL,İRM,4,0.12,0.16,"0,47-0,76",İRPM 83 İR 63 / 63 M4a(*P),İRPM 83 İR 63,63 M4a(*P),64767.00,71136.00
TL,İRM,4,0.12,0.16,"0,79-2,3",İRPM 82 İR 63 / 63 M4a(*P),İRPM 82 İR 63,63 M4a(*P),63737.00,70108.00
TL,İRM,4,0.12,0.16,"1,0-3,8",İRPM 73 İR 52 / 63 M4a(*P),İRPM 73 İR 52,63 M4a(*P),41299.00,45431.00
TL,İRM,4,0.12,0.16,"2,4-4,4",İRPM 74 / 63 M4a(*P),İRPM 74,63 M4a(*P),36022.00,39624.00
TL,İRM,4,0.12,0.16,"1,6-4,6",İRPM 731 İR 52 / 63 M4a(*P),İRPM 731 İR 52,63 M4a(*P),38778.00,42669.00
TL,İRM,4,0.12,0.16,"1,8-4,6",İRPM 721 İR 53 / 63 M4a(*P),İRPM 721 İR 53,63 M4a(*P),38634.00,42501.00
TL,İRM,4,0.12,0.16,"2,2-4,6",İRPM 741 / 63 M4a(*P),İRPM 741,63 M4a(*P),33328.00,36975.00
TL,İRM,4,0.12,0.16,"1,8-6,5",İRM 63 İR 52 / 63 M4a(*P),İRM 63 İR 52,63 M4a(*P),30541.00,33611.00
TL,İRM,4,0.12,0.16,"6,0-10",İRM 62 İR 52 / 63 M4a(*P),İRM 62 İR 52,63 M4a(*P),30015.00,33085.00
TL,İRM,4,0.12,0.16,"3,2-5,0",İRPM 64 / 63 M4a(*P),İRPM 64,63 M4a(*P),24323.00,26836.00
TL,İRM,4,0.12,0.16,"3,7-14",İRM 53 İR 42 / 63 M4a,İRM 53 İR 42,63 M4a,25201.00,26608.00
TL,İRM,4,0.12,0.16,13-20,İRPM 53 / 63 M4a(*P),İRPM 53,63 M4a(*P),15410.00,16949.00
TL,İRM,4,0.12,0.16,17-120,İRM 43 / 63 M4a,İRM 43,63 M4a,13189.00,14505.00
TL,İRM,4,0.12,0.16,124-405,İRM 42 / 63 M4a,İRM 42,63 M4a,13048.00,14353.00
TL,İRM,4,0.18,0.16,"0,53-1,4",İRPM 93 İR 63 / 63 M4b(*P),İRPM 93 İR 63,63 M4b(*P),78163.00,85970.00
TL,İRM,4,0.18,0.25,"0,78-2,3",İRPM 83 İR 63 / 63 M4b(*P),İRPM 83 İR 63,63 M4b(*P),64863.00,71256.00
TL,İRM,4,0.18,0.25,"1,2-2,9",İRM 84 / 71 M6a,İRM 84,71 M6a,58258.00,64082.00
TL,İRM,4,0.18,0.25,"1,2-5,7",İRM 73 İR 52 / 63 M4b (*P),İRM 73 İR 52,63 M4b (*P),41451.00,45593.00
TL,İRM,4,0.18,0.25,"1,5-2,5",İRM 74 / 71 M6a,İRM 74,71 M6a,37023.00,40660.00
TL,İRM,4,0.18,0.25,"2,4-4,9",İRM 74 / 63 M4b(*P),İRM 74,63 M4b(*P),36209.00,39831.00
TL,İRM,4,0.18,0.25,"5,8",İRM 73 / 71 M6a,İRM 73,71 M6a,30829.00,33907.00
TL,İRM,4,0.18,0.25,"2,3-3,5",İRPM 731 İR 52 / 63 M4b(*P),İRPM 731 İR 52,63 M4b(*P),39032.00,42896.00
TL,İRM,4,0.18,0.25,"2,6-4,5",İRPM 721 İR 53 / 63 M4b(*P),İRPM 721 İR 53,63 M4b(*P),38742.00,42597.00
TL,İRM,4,0.18,0.25,"2,0-2,6",İRM 741 / 71 M6a,İRM 741,71 M6a,34919.00,38565.00
TL,İRM,4,0.18,0.25,"2,2-7,4",İRPM 741 / 63 M4b(*P),İRPM 741,63 M4b(*P),33508.00,37155.00
TL,İRM,4,0.18,0.25,"5,9-8,9",İRM 731 / 71 M6a,İRM 731,71 M6a,28163.00,30968.00
TL,İRM,4,0.18,0.25,"2,9-6,5",İRPM 63 İR 52 / 63 M4b(*P),İRPM 63 İR 52,63 M4b(*P),30680.00,33740.00
TL,İRM,4,0.18,0.25,"6,0-10",İRPM 62 İR 52 / 63 M4b(*P),İRPM 62 İR 52,63 M4b(*P),30144.00,33201.00
TL,İRM,4,0.18,0.25,"2,8-3,0",İRM 64 / 71 M6a,İRM 64,71 M6a,27086.00,29913.00
TL,İRM,4,0.18,0.25,"3,2-8,9",İRM 64 / 63 M4b(*P),İRM 64,63 M4b(*P),27678.00,30503.00
TL,İRM,4,0.18,0.25,"7,0-7,5",İRPM 63 / 71 M6a(*P),İRPM 63,71 M6a(*P),22826.00,25006.00
TL,İRM,4,0.18,0.25,"9,3-10",İRM 63 / 71 M6a,İRM 63,71 M6a,21855.00,24035.00
TL,İRM,4,0.18,0.25,10-11,İRM 63 / 63 M4b(*P),İRM 63,63 M4b(*P),22585.00,24755.00
TL,İRM,4,0.18,0.25,"7,0-7,5",İRPM 631 / 71 M6a(*P),İRPM 631,71 M6a(*P),22838.00,25118.00
TL,İRM,4,0.18,0.25,"9,3-10",İRM 631 / 71 M6a,İRM 631,71 M6a,21854.00,24036.00
TL,İRM,4,0.18,0.25,10-11,İRM 631 / 63 M4b(*P),İRM 631,63 M4b(*P),20492.00,24853.00
TL,İRM,4,0.18,0.25,"5,9-14",İRM 53 İR 42 / 63 M4b,İRM 53 İR 42,63 M4b,25339.00,26741.00
TL,İRM,4,0.18,0.25,"8,5-11",İRPM 53 / 71 M6a(*P),İRPM 53,71 M6a(*P),16668.00,18290.00
TL,İRM,4,0.18,0.25,13-28,İRPM 53 / 63 M4b(*P),İRPM 53,63 M4b(*P),15740.00,17465.00
TL,İRM,4,0.18,0.25,16-19,İRM 43 / 71 M6a,İRM 43,71 M6a,14260.00,15807.00
TL,İRM,4,0.18,0.25,17-120,İRM 43 / 63 M4b,İRM 43,63 M4b,13343.00,14799.00
TL,İRM,4,0.18,0.25,124-405,İRM 42 / 63 M4b,İRM 42,63 M4b,13202.00,14645.00
TL,İRM,4,0.18,0.25,407-812,İRM 42 / 63 M2a,İRM 42,63 M2a,13260.00,14713.00
TL,İRM,5,0.25,,"0,13-0,48",İRM 143 IR 73 / 71 M4a,İRM 143 IR 73,71 M4a,239998.00,264221.00
TL,İRM,5,0.25,0.34,"0,19-0,42",İRM 123 IR 73 / 71 M4a,İRM 123 IR 73,71 M4a,136918.00,153324.00
TL,İRM,5,0.25,0.34,"0,34-0,60",İRM 122 IR 73 / 71 M4a,İRM 122 IR 73,71 M4a,135030.00,152617.00
TL,İRM,5,0.25,0.34,"0,29-0,57",İRM 103 IR 73 / 71 M4a,İRM 103 IR 73,71 M4a,109544.00,120492.00
TL,İRM,5,0.25,0.34,"0,51-2,4",İRM 102 IR 73 / 71 M4a,İRM 102 IR 73,71 M4a,108730.00,119600.00
TL,İRM,5,0.25,0.34,"1,9-2,1",İRM 93 IR 62 / 71 M4a,İRM 93 IR 62,71 M4a,79724.00,87584.00
TL,İRM,5,0.25,0.34,"0,74-2,0",İRM 92 İR 63 / 71 M4a,İRM 92 İR 63,71 M4a,78675.00,86540.00
TL,İRM,5,0.25,0.34,"1,2-5,3",İRM 82 İR 63 / 71 M4a,İRM 82 İR 63,71 M4a,64368.00,70238.00
TL,İRM,5,0.25,0.34,"1,2-1,8",İRM 84 / 71 M6b,İRM 84,71 M6b,58532.00,64381.00
TL,İRM,5,0.25,0.34,"2,0-4,5",İRM 84 / 71 M4a,İRM 84,71 M4a,57692.00,63457.00
TL,İRM,5,0.25,0.34,"1,9-5,7",İRM 73 IR 52 / 71 M4a,İRM 73 IR 52,71 M4a,42818.00,47243.00
TL,İRM,5,0.25,0.34,"6,0-6,7",İRM 72 IR 52 / 71 M4a,İRM 72 IR 52,71 M4a,42599.00,47334.00
TL,İRM,5,0.25,0.34,"2,2-2,5",İRM 74 / 71 M6b,İRM 74,71 M6b,37940.00,41730.00
TL,İRM,5,0.25,0.34,"2,4-4,9",İRM 74 / 71 M4a,İRM 74,71 M4a,37125.00,40847.00
TL,İRM,5,0.25,0.34,"5,9-8,7",İRM 73 / 71 M6b,İRM 73,71 M6b,31207.00,34328.00
TL,İRM,5,0.25,0.34,"9,0",İRM 73 / 71 M4a,İRM 73,71 M4a,30371.00,33682.00
TL,İRM,5,0.25,0.34,"2,6-8,5",İRM 731 İR 52 / 71 M4a,İRM 731 İR 52,71 M4a,39377.00,43263.00
TL,İRM,5,0.25,0.34,"2,9-9,4",İRM 721 İR 53 / 71 M4a,İRM 721 İR 53,71 M4a,39062.00,42933.00
TL,İRM,5,0.25,0.34,"3,0",İRPM 741 / 71 M4a(*P),İRPM 741,71 M4a(*P),35592.00,39366.00
TL,İRM,5,0.25,0.34,"3,2-9,2",İRM 741 / 71 M4a,İRM 741,71 M4a,34510.00,37545.00
TL,İRM,5,0.25,0.34,"5,9-8,9",İRM 731 / 71 M6b,İRM 731,71 M6b,28635.00,31493.00
TL,İRM,5,0.25,0.34,"9,2-15",İRM 731 / 71 M4a,İRM 731,71 M4a,27801.00,30580.00
TL,İRM,5,0.25,0.34,"4,3-9,2",İRM 63 İR 52 / 71 M4a,İRM 63 İR 52,71 M4a,30910.00,33977.00
TL,İRM,5,0.25,0.34,"6,1-9,4",İRM 62 İR 52 / 71 M4a,İRM 62 İR 52,71 M4a,30536.00,33615.00
TL,İRM,5,0.25,0.34,"4,3-8,9",İRM 64 / 71 M4a,İRM 64,71 M4a,26137.00,28549.00
TL,İRM,5,0.25,0.34,"7,0-7,5",İRPM 63 / 71 M6b(*P),İRPM 63,71 M6b(*P),23149.00,25412.00
TL,İRM,5,0.25,0.34,"9,3-10",İRM 63 / 71 M6b,İRM 63,71 M6b,22153.00,24317.00
TL,İRM,5,0.25,0.34,10-11,IRPM 63 / 71 M4a(*P),IRPM 63,71 M4a(*P),22360.00,24594.00
TL,İRM,5,0.25,0.34,14-19,İRM 63 / 71 M4a,İRM 63,71 M4a,21398.00,23534.00
TL,İRM,5,0.25,0.34,"7,0-7,5",İRPM 631 / 71 M6b(*P),İRPM 631,71 M6b(*P),22933.00,25119.00
TL,İRM,5,0.25,0.34,"9,3-10",İRM 631 / 71 M6b,İRM 631,71 M6b,21947.00,24038.00
TL,İRM,5,0.25,0.34,10-11,İRPM 631 / 71 M4a(*P),İRPM 631,71 M4a(*P),22075.00,24281.00
TL,İRM,5,0.25,0.34,14-19,İRM 631 / 71 M4a,İRM 631,71 M4a,21123.00,23235.00
TL,İRM,5,0.25,0.34,"5,9-14",İRM 53 IR 42 / 71 M4a,İRM 53 IR 42,71 M4a,25638.00,27046.00
TL,İRM,5,0.25,0.34,"8,3-14",İRM 53 / 71 M6b,İRM 53,71 M6b,16852.00,18538.00
TL,İRM,5,0.25,0.34,13-15,İRPM 53 / 71 M4a(*P),İRPM 53,71 M4a(*P),16763.00,18446.00
TL,İRM,5,0.25,0.34,18-40,İRM 53 / 71 M4a,İRM 53,71 M4a,16043.00,17652.00
TL,İRM,5,0.25,0.34,22-120,İRM 43 / 71 M4a,İRM 43,71 M4a,13810.00,15189.00
TL,İRM,5,0.25,0.34,124-405,İRM 42 / 71 M4a,İRM 42,71 M4a,13668.00,15039.00
TL,İRM,5,0.25,0.34,407-812,İRM 42 / 63 M2b,İRM 42,63 M2b,13484.00,14831.00
TL,İRM,5,0.37,0.34,"0,22-0,67",İRM 143 İR 73 / 71 M4b,İRM 143 İR 73,71 M4b,242402.00,266635.00
TL,İRM,5,0.37,0.50,"0,28-0,42",İRM 123 İR 73 / 71 M4b,İRM 123 İR 73,71 M4b,138436.00,152623.00
TL,İRM,5,0.37,0.50,"0,34-0,84",İRM 122 İR 73 / 71 M4b,İRM 122 İR 73,71 M4b,136506.00,150316.00
TL,İRM,5,0.37,0.50,"0,57",İRM 103 İR 73 / 71 M4b,İRM 103 İR 73,71 M4b,112277.00,123226.00
TL,İRM,5,0.37,0.50,"0,65-2,4",İRM 102 İR 73 / 71 M4b,İRM 102 İR 73,71 M4b,109040.00,119927.00
TL,İRM,5,0.37,0.50,"1,1-1,8",İRM 104 / 80 M6a,İRM 104,80 M6a,97318.00,107053.00
TL,İRM,5,0.37,0.50,"1,9-4,1",İRM 93 İR 62 / 71 M4b,İRM 93 İR 62,71 M4b,79997.00,87880.00
TL,İRM,5,0.37,0.50,"1,2-2,0",İRM 92 İR 63 / 71 M4b,İRM 92 İR 63,71 M4b,78958.00,86849.00
TL,İRM,5,0.37,0.50,"1,9-2,6",İRM 94 / 80 M6a,İRM 94,80 M6a,73531.00,80932.00
TL,İRM,5,0.37,0.50,"3,0-4,2",İRPM 93 / 80 M6a(*P),İRPM 93,80 M6a(*P),69346.00,76473.00
TL,İRM,5,0.37,0.50,"1,8-5,3",İRM 82 İR 63 / 71 M4a,İRM 82 İR 63,71 M4a,64742.00,70611.00
TL,İRM,6,0.37,,"1,6-1,8",İRM 84 / 80 M6a,İRM 84,80 M6a,59068.00,65211.00
TL,İRM,6,0.37,0.50,"2,0-5,0",İRM 84 / 71 M4b,İRM 84,71 M4b,58075.00,63876.00
TL,İRM,6,0.37,0.50,"3,5-5,3",İRM 83 / 80 M6a,İRM 83,80 M6a,49700.00,54665.00
TL,İRM,6,0.37,0.50,"3,9-4,9",İRM 74 / 71 M4b,İRM 74,71 M4b,37384.00,41065.00
TL,İRM,6,0.37,0.50,"5,8-9,8",İRM 73 / 80 M6a,İRM 73,80 M6a,31640.00,34806.00
TL,İRM,6,0.37,0.50,"9,0-13",İRM 73 / 71 M4b,İRM 73,71 M4b,30591.00,33603.00
TL,İRM,6,0.37,0.50,"3,7-5,2",İRM 731 İR 52 / 71 M4b,İRM 731 İR 52,71 M4b,39550.00,43417.00
TL,İRM,6,0.37,0.50,"4,0-9,4",İRM 721 İR 53 / 71 M4b,İRM 721 İR 53,71 M4b,39413.00,43282.00
TL,İRM,6,0.37,0.50,"4,6-9,2",İRM 741 / 71 M4b,İRM 741,71 M4b,34828.00,38154.00
TL,İRM,6,0.37,0.50,"5,9-8,9",İRM 731 / 80 M6a,İRM 731,80 M6a,29172.00,31960.00
TL,İRM,6,0.37,0.50,"9,2-15",İRM 731 / 71 M4b,İRM 731,71 M4b,28117.00,30804.00
TL,İRM,6,0.37,0.50,"5,9-8,9",İRM 64 / 71 M4b,İRM 64,71 M4b,26696.00,29002.00
TL,İRM,6,0.37,0.50,"7,0-7,5",İRPM 63 / 80 M6a(*P),İRPM 63,80 M6a(*P),23854.00,26242.00
TL,İRM,6,0.37,0.50,"9,3-10",İRM 63 / 80 M6a,İRM 63,80 M6a,22826.00,25113.00
TL,İRM,6,0.37,0.50,10-11,İRPM 63 / 71 M4b(*P),İRPM 63,71 M4b(*P),22659.00,24863.00
TL,İRM,6,0.37,0.50,14-27,İRM 63 / 71 M4b,İRM 63,71 M4b,21682.00,23792.00
TL,İRM,6,0.37,0.50,"7,0-7,5",İRPM 631 / 80 M6a(*P),İRPM 631,80 M6a(*P),23835.00,26216.00
TL,İRM,6,0.37,0.50,"9,3-10",İRM 631 / 80 M6a,İRM 631,80 M6a,22701.00,24968.00
TL,İRM,6,0.37,0.50,10-11,İRPM 631 / 71 M4b(*P),İRPM 631,71 M4b(*P),22655.00,24925.00
TL,İRM,6,0.37,0.50,14-27,İRM 631 / 71 M4b,İRM 631,71 M4b,21681.00,23852.00
TL,İRM,6,0.37,0.50,12-14,İRM 53 IR 42 / 71 M4b,İRM 53 IR 42,71 M4b,26040.00,27453.00
TL,İRM,6,0.37,0.50,15,İRPM 53 / 71 M4b(*P),İRPM 53,71 M4b(*P),17081.00,18788.00
TL,İRM,6,0.37,0.50,18-63,İRM 53 / 71 M4b,İRM 53,71 M4b,16345.00,17980.00
TL,İRM,6,0.37,0.50,81-132,İRM 52 / 71 M4b,İRM 52,71 M4b,15696.00,17204.00
TL,İRM,6,0.37,0.50,38-120,İRM 43 / 71 M4b,İRM 43,71 M4b,14107.00,15512.00
TL,İRM,6,0.37,0.50,124-405,İRM 42 / 71 M4b,İRM 42,71 M4b,13962.00,15341.00
TL,İRM,6,0.37,0.50,407-812,İRM 42 / 71 M2b,İRM 42,71 M2b,13678.00,15052.00
TL,İRM,6,0.55,0.50,"0,23-0,34",İRPM 153 İR 93 / 80 M4a(*P),İRPM 153 İR 93,80 M4a(*P),372640.00,409889.00
TL,İRM,6,0.55,0.75,"0,47-0,80",İRPM 153 İR 92 / 80 M4a(*P),İRPM 153 İR 92,80 M4a(*P),371583.00,408740.00
TL,İRM,6,0.55,0.75,"0,51-0,83",İRPM 152 İR 93 / 80 M4a(*P),İRPM 152 İR 93,80 M4a(*P),353130.00,390415.00
TL,İRM,6,0.55,0.75,"0,32-0,68",İRM 143 İR 73 / 80 M4a,İRM 143 İR 73,80 M4a,243390.00,267725.00
TL,İRM,6,0.55,0.75,"0,64-1,1",İRM 143 İR 72 / 80 M4a,İRM 143 İR 72,80 M4a,242523.00,266772.00
TL,İRM,6,0.55,0.75,"0,49-1,3",İRM 123 İR 72 / 80 M4a,İRM 123 İR 72,80 M4a,139610.00,154179.00
TL,İRM,6,0.55,0.75,"0,51-0,91",İRM 122 İR 73 / 80 M4a,İRM 122 İR 73,80 M4a,137100.00,150807.00
TL,İRM,6,0.55,0.75,"1,1-2,3",İRM 103 İR 72 / 80 M4a,İRM 103 İR 72,80 M4a,112345.00,123315.00
TL,İRM,6,0.55,0.75,"1,2-2,4",İRM 102 İR 73 / 80 M4a,İRM 102 İR 73,80 M4a,109806.00,120783.00
TL,İRM,6,0.55,0.75,"1,2-1,8",İRM 104 / 80 M6b,İRM 104,80 M6b,97886.00,107678.00
TL,İRM,6,0.55,0.75,"1,7-3,4",İRM 104 / 80 M4a,İRM 104,80 M4a,97072.00,106772.00
TL,İRM,6,0.55,0.75,"1,9-4,1",İRM 93 İR 62 / 80 M4a,İRM 93 İR 62,80 M4a,80663.00,88526.00
TL,İRM,6,0.55,0.75,"4,4-6,3",İRM 92 İR 62 / 80 M4a,İRM 92 İR 62,80 M4a,79596.00,87465.00
TL,İRM,6,0.55,0.75,"1,8-2,6",İRM 94 / 80 M6b,İRM 94,80 M6b,74192.00,81608.00
TL,İRM,6,0.55,0.75,"2,9-5,2",İRM 94 / 80 M4a,İRM 94,80 M4a,73368.00,80698.00
TL,İRM,6,0.55,0.75,"3,0-4,2",İRPM 93 / 80 M6b(*P),İRPM 93,80 M6b(*P),70771.00,77967.00
TL,İRM,6,0.55,0.75,"4,7-6,5",İRPM 93 / 80 M4a(*P),İRPM 93,80 M4a(*P),67818.00,74918.00
TL,İRM,6,0.55,0.75,"2,6-7,7",İRM 82 İR 63 / 80 M4a,İRM 82 İR 63,80 M4a,65085.00,70906.00
TL,İRM,6,0.55,0.75,"2,8-8,3",İRM 84 / 80 M4a,İRM 84,80 M4a,58884.00,64776.00
TL,İRM,6,0.55,0.75,"3,6-5,3",İRM 83 / 80 M6b,İRM 83,80 M6b,50280.00,55303.00
TL,İRM,6,0.55,0.75,"5,5-13",İRM 83 / 80 M4a,İRM 83,80 M4a,49457.00,54404.00
TL,İRM,6,0.55,0.75,"6,0-8,7",İRM 72 IR 52 / 80 M4a,İRM 72 IR 52,80 M4a,44462.00,48121.00
TL,İRM,6,0.55,0.75,"4,9",İRM 74 / 80 M4a,İRM 74,80 M4a,38385.00,42224.00
TL,İRM,6,0.55,0.75,"5,8-9,8",İRM 73 / 80 M6b,İRM 73,80 M6b,32311.00,35534.00
TL,İRM,7,0.55,,"9,0-23",İRM 73 / 80 M4a,İRM 73,80 M4a,31499.00,34647.00
TL,İRM,7,0.55,0.75,"6,9-9,5",İRM 731 İR 52 / 71 M4b,İRM 731 İR 52,71 M4b,40125.00,43956.00
TL,İRM,7,0.55,0.75,"7,0-9,4",İRM 721 İR 53 / 71 M4b,İRM 721 İR 53,71 M4b,39991.00,43825.00
TL,İRM,7,0.55,0.75,"7,4-9,2",İRM 741 / 80 M4a,İRM 741,80 M4a,35445.00,38742.00
TL,İRM,7,0.55,0.75,"7,7-8,9",İRM 731 / 80 M6b,İRM 731,80 M6b,29750.00,32732.00
TL,İRM,7,0.55,0.75,"9,2-31",İRM 731 / 80 M4a,İRM 731,80 M4a,28950.00,31844.00
TL,İRM,7,0.55,0.75,"8,9",İRM 64 / 80 M6b,İRM 64,80 M6b,27401.00,29691.00
TL,İRM,7,0.55,0.75,10,İRM 63 / 80 M6b,İRM 63,80 M6b,23416.00,25756.00
TL,İRM,7,0.55,0.75,10-11,İRPM 63 / 80 M4a(*P),İRPM 63,80 M4a(*P),23647.00,26014.00
TL,İRM,7,0.55,0.75,14-39,İRM 63 / 80 M4a,İRM 63,80 M4a,22627.00,24892.00
TL,İRM,7,0.55,0.75,10,İRM 631 / 80 M6b,İRM 631,80 M6b,22939.00,36735.00
TL,İRM,7,0.55,0.75,10-11,İRPM 631 / 80 M4a(*P),İRPM 631,80 M4a(*P),23392.00,25969.00
TL,İRM,7,0.55,0.75,14-39,İRM 631 / 80 M4a,İRM 631,80 M4a,22386.00,24851.00
TL,İRM,7,0.55,0.75,25-63,İRM 53 / 80 M4a,İRM 53,80 M4a,17302.00,19028.00
TL,İRM,7,0.55,0.75,81-147,İRM 52 / 80 M4a,İRM 52,80 M4a,16848.00,18530.00
TL,İRM,7,0.55,0.75,49-120,İRM 43 / 80 M4a,İRM 43,80 M4a,15083.00,16591.00
TL,İRM,7,0.55,0.75,124-405,İRM 42 / 80 M4a,İRM 42,80 M4a,14941.00,16435.00
TL,İRM,7,0.55,0.75,407-812,İRM 42 / 71 M2b,İRM 42,71 M2b,13969.00,15359.00
TL,İRM,7,0.75,0.75,"0,34",İRPM 153 İR 93 / 80 M4b(*P),İRPM 153 İR 93,80 M4b(*P),374521.00,411959.00
TL,İRM,7,0.75,1,"0,47-1,0",İRPM 153 İR 92 / 80 M4b(*P),İRPM 153 İR 92,80 M4b(*P),373567.00,410917.00
TL,İRM,7,0.75,1,"0,51-1,1",İRPM 152 İR 93 / 80 M4b(*P),İRPM 152 İR 93,80 M4b(*P),355448.00,392966.00
TL,İRM,7,0.75,1,"0,45-0,67",İRM 143 İR 73 / 80 M4b,İRM 143 İR 73,80 M4b,245749.00,270321.00
TL,İRM,7,0.75,1,"0,64-1,5",İRM 143 İR 72 / 80 M4b,İRM 143 İR 72,80 M4b,244874.00,269362.00
TL,İRM,7,0.75,1,"0,68-1,9",İRM 123 İR 72 / 80 M4b,İRM 123 İR 72,80 M4b,141394.00,155529.00
TL,İRM,7,0.75,1,"0,75-4,6",İRM 122 İR 73 / 80 M4b,İRM 122 İR 73,80 M4b,139095.00,153239.00
TL,İRM,7,0.75,1,"1,0-1,5",İRM 124 / 90 S6a,İRM 124,90 S6a,129604.00,142561.00
TL,İRM,7,0.75,1,"1,1-2,3",İRM 103 İR 72 / 80 M4b,İRM 103 İR 72,80 M4b,114316.00,125496.00
TL,İRM,7,0.75,1,"1,2-2,4",İRM 102 İR 73 / 80 M4b,İRM 102 İR 73,80 M4b,111777.00,122957.00
TL,İRM,7,0.75,1,"1,4-1,8",İRM 104 / 90 S6a,İRM 104,90 S6a,99763.00,109733.00
TL,İRM,7,0.75,1,"1,7-4,5",İRM 104 / 80 M4b,İRM 104,80 M4b,99090.00,108997.00
TL,İRM,7,0.75,1,"2,1-4,1",İRM 93 İR 62 / 80 M4b,İRM 93 İR 62,80 M4b,82448.00,90309.00
TL,İRM,7,0.75,1,"4,4-6,3",İRM 92 İR 62 / 80 M4b,İRM 92 İR 62,80 M4b,81400.00,89267.00
TL,İRM,7,0.75,1,"1,8-2,6",İRM 94 / 90 S6a,İRM 94,90 S6a,76127.00,83739.00
TL,İRM,7,0.75,1,"2,9-7,4",İRM 94 / 80 M4b,İRM 94,80 M4b,75325.00,82854.00
TL,İRM,7,0.75,1,"3,0-4,2",İRPM 93 / 90 S6a(*P),İRPM 93,90 S6a(*P),71769.00,78891.00
TL,İRM,7,0.75,1,"4,7-8,1",İRPM 93 / 80 M4b(*P),İRPM 93,80 M4b(*P),69569.00,76638.00
TL,İRM,7,0.75,1,"3,8-7,7",İRM 82 İR 63 / 80 M4b,İRM 82 İR 63,80 M4b,66818.00,72632.00
TL,İRM,7,0.75,1,"3,2-8,3",İRM 84 / 80 M4b,İRM 84,80 M4b,60906.00,67000.00
TL,İRM,7,0.75,1,"4,0-5,3",İRM 83 / 90 S6a,İRM 83,90 S6a,52104.00,57315.00
TL,İRM,7,0.75,1,"5,5-15",İRM 83 / 80 M4b,İRM 83,80 M4b,51440.00,56576.00
TL,İRM,7,0.75,1,"6,7-9,8",İRM 73 / 90 S6a,İRM 73,90 S6a,34209.00,37629.00
TL,İRM,7,0.75,1,"9,0-30",İRM 73 / 80 M4b,İRM 73,80 M4b,33497.00,36846.00
TL,İRM,7,0.75,1,"9,2",İRM 741 / 80 M4b,İRM 741,80 M4b,37830.00,40787.00
TL,İRM,7,0.75,1,12-39,İRM 731 / 80 M4b,İRM 731,80 M4b,31173.00,34098.00
TL,İRM,7,0.75,1,44-49,İRM 721 / 80 M4b,İRM 721,80 M4b,30497.00,33424.00
TL,İRM,8,0.75,,14-55,İRM 63 / 80 M4b,İRM 63,80 M4b,24813.00,27291.00
TL,İRM,8,0.75,1,14-55,İRM 631 / 80 M4b,İRM 631,80 M4b,24666.00,27130.00
TL,İRM,8,0.75,1,31-87,İRM 53 / 80 M4b,İRM 53,80 M4b,19237.00,21167.00
TL,İRM,8,0.75,1,81-240,İRM 52 / 80 M4b,İRM 52,80 M4b,18758.00,20630.00
TL,İRM,8,0.75,1,66-120,İRM 43 / 80 M4b,İRM 43,80 M4b,16989.00,18688.00
TL,İRM,8,0.75,1,124-405,İRM 42 / 80 M4b,İRM 42,80 M4b,16836.00,18521.00
TL,İRM,8,0.75,1,407-812,İRM 42 / 80 M2a,İRM 42,80 M2a,15173.00,16684.00
TL,İRM,8,1.1,1,"0,47-1,3",İRPM 153 İR 92 / 90 S4a(*P),İRPM 153 İR 92,90 S4a(*P),374720.00,412179.00
TL,İRM,8,1.1,1.5,"0,51-1,1",İRPM 152 İR 93 / 90 S4a(*P),İRPM 152 İR 93,90 S4a(*P),355915.00,393374.00
TL,İRM,8,1.1,1.5,"2,6",İRM 143 İR 82 / 90 S4a,İRM 143 İR 82,90 S4a,265008.00,289626.00
TL,İRM,8,1.1,1.5,"0,64-2,3",İRM 143 İR 72 / 90 S4a,İRM 143 İR 72,90 S4a,246268.00,270887.00
TL,İRM,8,1.1,1.5,"1,6-2,3",İRM 144 / 90 L6b,İRM 144,90 L6b,239829.00,263942.00
TL,İRM,8,1.1,1.5,"0,84-2,8",İRM 123 İR 72 / 90 S4a,İRM 123 İR 72,90 S4a,142714.00,157192.00
TL,İRM,8,1.1,1.5,"0,91-4,6",İRM 122 İR 73 / 90 S4a,İRM 122 İR 73,90 S4a,139815.00,153717.00
TL,İRM,8,1.1,1.5,"1,0-1,5",İRPM 124 / 90 L6b(*P),İRPM 124,90 L6b(*P),131637.00,144800.00
TL,İRM,8,1.1,1.5,"1,5-3,9",İRPM 124 / 90 S4a(*P),İRPM 124,90 S4a(*P),129761.00,142850.00
TL,İRM,8,1.1,1.5,"1,9-4,9",İRM 104 / 90 S4a,İRM 104,90 S4a,99956.00,109760.00
TL,İRM,8,1.1,1.5,"3,2-4,1",İRM 93 İR 62 / 90 S4a,İRM 93 İR 62,90 S4a,83225.00,91029.00
TL,İRM,8,1.1,1.5,"4,4-6,3",İRM 92 İR 62 / 90 S4a,İRM 92 İR 62,90 S4a,82189.00,89998.00
